edad,conversacion_con_IA_horas,interaccion_social_presencial_horas,tiempo_redes_sociales_horas,tiempo_frente_pantallas_horas,total_amigos_cercanos,nivel_soledad,nivel_apego_emocional,nivel_satisfaccion_relaciones_reales,horas_sueño,nivel_calidad_sueño,horas_ejercicio,nivel_ansiedad,nivel_depresion,nivel_estres,nivel_autoestima,riesgo_dependencia
21,0.0,6.6,0.51,3.28,1,4.5,2.0,8.1,7.3,9.1,3.3,3.5,3.0,1.0,9.5,Bajo
34,2.36,2.88,3.73,8.12,5,5.9,2.3,5.4,7.5,3.5,0.9,4.6,2.4,5.2,4.7,Moderado
43,0.07,4.56,0.49,3.02,4,1.1,1.0,8.3,6.8,8.3,7.6,1.0,1.0,3.2,7.2,Bajo
29,0.44,5.66,0.88,5.28,7,3.2,1.8,6.7,9.5,8.9,7.4,2.7,1.5,2.6,9.0,Bajo
25,0.0,6.56,0.29,3.09,8,1.0,1.0,10.0,8.5,10.0,6.5,1.0,1.0,1.0,9.9,Bajo
22,0.94,5.49,2.46,5.1,4,5.4,2.0,5.5,5.8,7.1,2.6,4.1,3.5,2.3,8.5,Bajo
43,2.33,4.13,0.05,5.66,5,5.4,2.9,4.5,7.5,6.9,3.6,4.5,3.8,4.1,3.4,Bajo
35,0.76,4.82,2.44,5.59,6,3.5,1.3,7.1,7.8,8.0,6.8,4.9,1.0,3.8,7.2,Bajo
21,2.75,2.37,3.79,7.57,2,9.9,7.1,2.8,5.6,4.3,1.6,7.2,7.7,6.8,2.9,Alto
40,2.9,1.25,4.1,8.82,0,7.3,8.9,4.2,6.9,5.3,1.1,9.7,5.2,6.6,4.5,Moderado
33,4.22,1.68,4.93,9.68,1,6.6,10.0,3.3,5.1,1.2,1.1,9.2,8.3,7.3,2.0,Alto
37,2.43,4.01,2.94,5.08,2,6.2,4.7,6.8,7.5,6.1,3.5,5.8,3.6,7.1,5.2,Bajo
25,3.04,2.25,1.68,5.77,1,8.0,8.3,3.6,6.1,4.9,3.7,6.9,9.4,7.9,4.9,Alto
25,1.36,2.1,1.75,5.23,3,7.2,4.1,6.1,6.5,6.3,0.3,5.5,4.5,6.7,6.9,Alto
38,2.93,2.64,3.04,8.09,6,4.4,2.5,3.6,8.1,5.3,4.0,2.9,4.9,5.7,5.5,Moderado
35,0.0,4.47,2.23,2.82,5,3.7,5.6,8.4,8.2,6.7,3.5,2.9,3.7,2.6,6.8,Bajo
18,0.0,7.42,0.0,1.0,8,1.0,1.0,10.0,7.6,9.6,5.9,1.3,1.0,2.0,10.0,Bajo
22,3.04,4.98,3.87,10.39,4,7.5,6.9,7.3,6.9,6.5,4.4,5.7,5.3,7.7,6.2,Alto
38,4.41,2.55,3.4,9.91,1,8.3,7.5,5.2,7.9,2.2,0.7,5.5,5.2,8.8,5.0,Alto
17,0.0,4.96,1.86,5.42,4,1.9,2.0,8.8,9.3,7.7,6.1,1.0,1.0,3.2,8.4,Bajo
36,1.69,3.64,3.7,8.89,1,5.2,5.6,6.0,6.2,7.0,4.7,3.6,1.7,5.0,5.2,Bajo
35,2.56,1.86,3.77,9.06,3,5.8,7.2,5.6,7.7,5.4,3.7,6.4,6.7,6.7,6.1,Alto
16,1.47,5.18,2.7,6.23,6,5.1,4.1,3.8,8.1,5.2,5.5,2.8,6.7,5.0,7.4,Moderado
38,3.15,4.83,3.08,7.84,4,8.6,8.8,3.4,5.2,5.1,3.4,8.6,6.7,5.1,2.8,Alto
26,0.71,3.46,3.25,6.68,3,7.4,3.7,8.5,7.3,7.0,5.2,4.5,4.1,5.5,6.1,Bajo
44,0.57,3.39,2.19,4.6,7,4.4,5.1,8.1,7.8,8.1,3.3,1.8,1.0,3.5,7.1,Bajo
20,2.43,3.63,3.46,7.3,5,8.5,6.7,2.4,5.2,4.3,4.5,8.8,5.6,9.8,3.5,Alto
16,0.3,5.35,0.35,1.0,6,3.5,2.4,8.3,8.3,8.7,3.3,2.6,3.1,3.1,7.4,Bajo
42,0.69,5.13,1.29,3.89,7,2.6,3.5,6.2,9.7,8.4,5.4,3.7,1.0,4.0,8.9,Bajo
35,1.64,6.57,0.49,5.23,7,4.5,1.0,7.3,8.9,8.7,4.1,3.1,1.2,3.7,8.3,Bajo
15,0.0,3.89,2.12,5.38,5,2.4,3.4,8.7,7.9,8.8,2.8,2.7,2.3,2.2,10.0,Bajo
26,1.55,2.44,3.87,7.48,3,5.1,5.4,6.4,6.6,6.1,3.0,4.4,5.3,5.8,7.3,Moderado
40,1.84,4.4,2.9,5.86,2,3.7,7.2,8.0,7.7,7.3,4.4,3.9,2.8,4.5,7.1,Bajo
36,3.58,3.53,5.47,11.96,3,6.0,8.2,6.6,5.8,5.9,5.5,5.3,5.2,7.1,6.8,Moderado
43,0.0,5.55,0.3,2.29,6,1.0,1.0,7.9,7.8,10.0,8.8,1.5,1.0,2.9,9.7,Bajo
26,0.0,7.7,1.97,3.61,5,2.8,3.9,8.3,6.0,10.0,5.2,2.0,1.0,3.3,10.0,Bajo
39,1.19,3.63,1.37,3.1,4,5.0,5.6,4.8,7.4,7.0,1.9,4.3,4.0,4.1,5.5,Bajo
31,1.94,1.83,3.77,9.81,0,8.0,8.3,2.5,5.7,4.3,0.3,5.7,7.4,6.6,3.8,Alto
41,1.25,3.71,1.4,5.39,5,6.4,3.4,4.3,7.3,7.3,4.7,5.3,4.7,7.6,4.6,Moderado
41,0.82,5.62,2.48,6.14,6,3.8,1.4,7.8,7.5,8.0,5.8,3.6,1.0,4.1,6.7,Bajo
24,0.0,4.91,0.65,1.79,7,1.1,1.0,10.0,7.1,7.9,4.9,3.7,2.7,5.0,8.4,Bajo
42,1.16,4.57,0.0,3.24,3,2.7,2.4,8.7,7.6,6.8,3.0,3.8,1.3,2.9,8.7,Bajo
42,1.29,5.05,1.77,4.98,5,5.0,4.7,4.6,6.4,8.8,5.5,3.5,4.0,7.6,6.3,Bajo
30,0.0,7.65,1.94,4.72,8,1.0,1.0,10.0,10.0,9.9,5.0,1.0,1.0,1.0,7.5,Bajo
29,0.2,5.55,1.7,5.25,7,1.3,2.6,7.0,7.1,9.4,4.8,2.4,1.0,2.4,8.4,Bajo
44,2.55,7.23,2.53,5.64,7,2.4,1.9,6.0,7.1,6.6,5.6,2.1,2.7,4.3,6.2,Bajo
44,0.91,6.26,2.37,4.2,4,4.7,5.0,5.7,6.3,8.5,1.3,3.3,2.5,5.8,6.0,Bajo
29,1.54,2.65,2.26,6.45,4,6.3,3.3,6.6,6.0,6.0,5.5,3.5,6.5,5.7,7.5,Bajo
44,1.38,2.98,1.9,4.78,4,4.1,1.7,7.9,7.5,7.7,8.3,2.9,2.4,1.7,5.5,Bajo
33,1.7,4.24,3.25,7.77,5,7.2,6.2,5.8,5.5,5.3,3.6,6.4,6.1,5.2,3.6,Moderado
26,2.68,5.23,1.53,5.84,5,5.2,3.8,6.5,6.7,6.9,3.8,2.4,3.0,3.8,3.8,Moderado
37,0.0,4.18,2.89,3.64,5,4.4,2.8,5.6,7.6,7.4,4.5,5.3,4.1,2.7,6.2,Bajo
34,2.01,2.79,4.27,6.52,1,8.4,7.2,6.3,6.2,6.4,3.6,5.5,4.5,6.1,2.7,Moderado
