car_name,horsepower,weight,acceleration,cylinders,displacement,model_year,mpg
chevrolet chevelle malibu,130.0,3504,12.0,8,307.0,70,18.0
buick skylark 320,165.0,3693,11.5,8,350.0,70,15.0
plymouth satellite,150.0,3436,11.0,8,318.0,70,18.0
amc rebel sst,150.0,3433,12.0,8,304.0,70,16.0
ford torino,140.0,3449,10.5,8,302.0,70,17.0
ford galaxie 500,198.0,4341,10.0,8,429.0,70,15.0
chevrolet impala,220.0,4354,9.0,8,454.0,70,14.0
plymouth fury iii,215.0,4312,8.5,8,440.0,70,14.0
pontiac catalina,225.0,4425,10.0,8,455.0,70,14.0
amc ambassador dpl,190.0,3850,8.5,8,390.0,70,15.0
dodge challenger se,170.0,3563,10.0,8,383.0,70,15.0
plymouth 'cuda 340,160.0,3609,8.0,8,340.0,70,14.0
chevrolet monte carlo,150.0,3761,9.5,8,400.0,70,15.0
buick estate wagon (sw),225.0,3086,10.0,8,455.0,70,14.0
toyota corona mark ii,95.0,2372,15.0,4,113.0,70,24.0
plymouth duster,95.0,2833,15.5,6,198.0,70,22.0
amc hornet,97.0,2774,15.5,6,199.0,70,18.0
ford maverick,85.0,2587,16.0,6,200.0,70,21.0
datsun pl510,88.0,2130,14.5,4,97.0,70,27.0
volkswagen 1131 deluxe sedan,46.0,1835,20.5,4,97.0,70,26.0
peugeot 504,87.0,2672,17.5,4,110.0,70,25.0
audi 100 ls,90.0,2430,14.5,4,107.0,70,24.0
saab 99e,95.0,2375,17.5,4,104.0,70,25.0
bmw 2002,113.0,2234,12.5,4,121.0,70,26.0
amc gremlin,90.0,2648,15.0,6,199.0,70,21.0
ford f250,215.0,4615,14.0,8,360.0,70,10.0
chevy c20,200.0,4376,15.0,8,307.0,70,10.0
dodge d200,210.0,4382,13.5,8,318.0,70,11.0
hi 1200d,193.0,4732,18.5,8,304.0,70,9.0
datsun pl510,88.0,2130,14.5,4,97.0,71,27.0
chevrolet vega 2300,90.0,2264,15.5,4,140.0,71,28.0
toyota corona,95.0,2228,14.0,4,113.0,71,25.0
ford pinto,,2046,19.0,4,98.0,71,25.0
amc gremlin,100.0,2634,13.0,6,232.0,71,19.0
plymouth satellite custom,105.0,3439,15.5,6,225.0,71,16.0
chevrolet chevelle malibu,100.0,3329,15.5,6,250.0,71,17.0
ford torino 500,88.0,3302,15.5,6,250.0,71,19.0
amc matador,100.0,3288,15.5,6,232.0,71,18.0
chevrolet impala,165.0,4209,12.0,8,350.0,71,14.0
pontiac catalina brougham,175.0,4464,11.5,8,400.0,71,14.0
ford galaxie 500,153.0,4154,13.5,8,351.0,71,14.0
plymouth fury iii,150.0,4096,13.0,8,318.0,71,14.0
dodge monaco (sw),180.0,4955,11.5,8,383.0,71,12.0
ford country squire (sw),170.0,4746,12.0,8,400.0,71,13.0
pontiac safari (sw),175.0,5140,12.0,8,400.0,71,13.0
amc hornet sportabout (sw),110.0,2962,13.5,6,258.0,71,18.0
chevrolet vega (sw),72.0,2408,19.0,4,140.0,71,22.0
