"id","especie","isla","pico_longitud_mm","pico_profundidad_mm","aleta_longitud_mm","masa_corporal_g","sexo","año"
"1","Adelia","Torgersen",39.1,18.7,181,3750,"macho",2007
"2","Adelia","Torgersen",39.5,17.4,186,3800,"hembra",2007
"3","Adelia","Torgersen",40.3,18,195,3250,"hembra",2007
"4","Adelia","Torgersen",NA,NA,NA,NA,NA,2007
"5","Adelia","Torgersen",36.7,19.3,193,3450,"hembra",2007
"6","Adelia","Torgersen",39.3,20.6,190,3650,"macho",2007
"7","Adelia","Torgersen",38.9,17.8,181,3625,"hembra",2007
"8","Adelia","Torgersen",39.2,19.6,195,4675,"macho",2007
"9","Adelia","Torgersen",34.1,18.1,193,3475,NA,2007
"10","Adelia","Torgersen",42,20.2,190,4250,NA,2007
"11","Adelia","Torgersen",37.8,17.1,186,3300,NA,2007
"12","Adelia","Torgersen",37.8,17.3,180,3700,NA,2007
"13","Adelia","Torgersen",41.1,17.6,182,3200,"hembra",2007
"14","Adelia","Torgersen",38.6,21.2,191,3800,"macho",2007
"15","Adelia","Torgersen",34.6,21.1,198,4400,"macho",2007
"16","Adelia","Torgersen",36.6,17.8,185,3700,"hembra",2007
"17","Adelia","Torgersen",38.7,19,195,3450,"hembra",2007
"18","Adelia","Torgersen",42.5,20.7,197,4500,"macho",2007
"19","Adelia","Torgersen",34.4,18.4,184,3325,"hembra",2007
"20","Adelia","Torgersen",46,21.5,194,4200,"macho",2007
"21","Adelia","Biscoe",37.8,18.3,174,3400,"hembra",2007
"22","Adelia","Biscoe",37.7,18.7,180,3600,"macho",2007
"23","Adelia","Biscoe",35.9,19.2,189,3800,"hembra",2007
"24","Adelia","Biscoe",38.2,18.1,185,3950,"macho",2007
"25","Adelia","Biscoe",38.8,17.2,180,3800,"macho",2007
"26","Adelia","Biscoe",35.3,18.9,187,3800,"hembra",2007
"27","Adelia","Biscoe",40.6,18.6,183,3550,"macho",2007
"28","Adelia","Biscoe",40.5,17.9,187,3200,"hembra",2007
"29","Adelia","Biscoe",37.9,18.6,172,3150,"hembra",2007
"30","Adelia","Biscoe",40.5,18.9,180,3950,"macho",2007
"31","Adelia","Dream",39.5,16.7,178,3250,"hembra",2007
"32","Adelia","Dream",37.2,18.1,178,3900,"macho",2007
"33","Adelia","Dream",39.5,17.8,188,3300,"hembra",2007
"34","Adelia","Dream",40.9,18.9,184,3900,"macho",2007
"35","Adelia","Dream",36.4,17,195,3325,"hembra",2007
"36","Adelia","Dream",39.2,21.1,196,4150,"macho",2007
"37","Adelia","Dream",38.8,20,190,3950,"macho",2007
"38","Adelia","Dream",42.2,18.5,180,3550,"hembra",2007
