vendor_name,model_name,machine_cycle_time,min_main_memory,max_main_memory,cache_memory,min_channels,max_channels,estimated_performance,published_performance
adviser,32/60,125.0,256.0,6000,256.0,16,128.0,199,198
amdahl,470v/7,29.0,8000.0,32000,32.0,8,32.0,253,269
amdahl,470v/7a,29.0,8000.0,32000,32.0,8,32.0,253,220
amdahl,470v/7b,29.0,8000.0,32000,32.0,8,32.0,253,172
amdahl,470v/7c,29.0,8000.0,16000,32.0,8,16.0,132,130
amdahl,470v/b,26.0,8000.0,32000,64.0,8,32.0,290,318
amdahl,580-5840,23.0,16000.0,32000,64.0,16,32.0,381,367
amdahl,580-5850,23.0,16000.0,32000,,16,,381,489
amdahl,580-5860,23.0,16000.0,64000,,16,32.0,749,636
amdahl,580-5880,23.0,32000.0,64000,,32,64.0,1238,1230
apollo,dn320,400.0,1000.0,3000,,1,2.0,23,38
apollo,dn420,400.0,512.0,3500,4.0,1,6.0,24,40
basf,jul-65,60.0,2000.0,8000,65.0,1,8.0,70,92
basf,jul-68,50.0,4000.0,16000,65.0,1,8.0,117,138
bti,5000,350.0,64.0,64,0.0,1,4.0,15,10
bti,8000,200.0,512.0,16000,0.0,4,32.0,64,35
burroughs,b1955,167.0,524.0,2000,8.0,4,15.0,23,19
burroughs,b2900,143.0,512.0,5000,0.0,7,32.0,29,28
burroughs,b2925,143.0,1000.0,2000,0.0,5,,22,31
burroughs,b4955,110.0,5000.0,5000,142.0,8,64.0,124,120
burroughs,b5900,143.0,1500.0,6300,0.0,5,32.0,35,30
burroughs,b5920,143.0,3100.0,6200,0.0,5,20.0,39,33
burroughs,b6900,143.0,2300.0,6200,0.0,6,64.0,40,61
burroughs,b6925,110.0,3100.0,6200,0.0,6,64.0,45,76
c.r.d,68/10-80,320.0,128.0,6000,0.0,1,12.0,28,23
c.r.d,universe:2203t,320.0,512.0,2000,4.0,1,3.0,21,69
c.r.d,universe:68,320.0,256.0,6000,0.0,1,6.0,28,33
c.r.d,universe:68/05,320.0,256.0,3000,4.0,1,3.0,22,27
c.r.d,universe:68/137,320.0,512.0,5000,4.0,1,5.0,28,77
c.r.d,universe:68/37,320.0,256.0,5000,4.0,1,6.0,27,27
cdc,cyber:170/750,25.0,1310.0,2620,131.0,12,24.0,102,274
cdc,cyber:170/760,25.0,1310.0,2620,131.0,12,24.0,102,368
cdc,cyber:170/815,50.0,2620.0,10480,30.0,12,24.0,74,32
cdc,cyber:170/825,50.0,2620.0,10480,30.0,12,24.0,74,63
cdc,cyber:170/835,56.0,5240.0,20970,30.0,12,24.0,138,106
cdc,cyber:170/845,64.0,5240.0,20970,30.0,12,24.0,136,208
cdc,omega:480-i,50.0,500.0,2000,8.0,1,4.0,23,20
